link,name
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/10732/,Candeeiros de mesa
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/20506/,Projetores
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/10744/,Lâmpadas LED
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18755/,Berços
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18723/,Camas de criança
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/24708/,Camas para crianças 8-12
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/24709/,Colchões crianças 8-12
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18724/,Colchões para crianças
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18690/,Têxteis para bebé
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18682/,Colchões para berços
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/24710/,Têxteis crianças 8-12
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18730/,Têxteis para crianças
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18716/,Brinquedos para bebé
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18767/,Móveis pequenos
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/24713/,Secretárias e cadeiras crianças 8-12
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18734/,Brinquedos e jogos
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18706/,Móveis de arrumação
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18701/,Trocadores e cuidados do bebé
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18715/,Cadeiras altas
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18835/,Sistema de arrumação
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/20475/,Arrumação pequena
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18733/,Cadeiras júnior
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/31772/,Loiça para bebé
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/24711/,Acessórios para crianças 8-12 anos
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18714/,Loiça para criança
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/24712/,Iluminação crianças 8-12
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/16249/,Segurança
https://www.ikea.com/pt/pt/catalog/categories/departments/childrens_ikea/18773/,Iluminação para crianças
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/18750/,Candeeiros de teto
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/20503/,Candeeiros de parede
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/10451/,Cómodas
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/29879/,PAX roupeiros integrados
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/10732/,Candeeiros de mesa
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/41790/,PLATSA sistema de arrumação modular
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/11466/,Sistema de arrumação aberta para roupa e sapatos
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/bedroom_integrated_lighting/,Iluminação embutida
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/19053/,Roupeiros
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/10454/,Sapateiras e cabides
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/10550/,Caixas de arrumação e cestos
